# This file is generated from nextgen via SQL:  select * from (select name, is_aggregate, case_insensitive, alias_to,create_query,origin, syntax, arguments,returned_value,categories from system.functions where not (origin in ('PythonUserDefined','JavaScriptUserDefined')) union all select name,0 as is_aggregate,0 as case_insensitive, '' as alias_to,'' as create_query,null as origin, '' as syntax, '' as arguments,'' as returned_value,'table' as categories from system.table_functions) order by name
name,is_aggregate,case_insensitive,alias_to,create_query,origin,syntax,arguments,returned_value,categories
covar_pop_stable,1,1,,,System,,,,
covar_samp,1,1,,,System,,,,
covar_samp_stable,1,1,,,System,,,,
cramers_v,1,1,,,System,,,,
cramers_v_bias_corrected,1,1,,,System,,,,
crc32,0,1,,,System,,,,
crc32_ieee,0,1,,,System,,,,
crc64,0,1,,,System,,,,
current_database,0,1,,,System,,,,
current_profiles,0,1,,,System,,,,
current_roles,0,1,,,System,,,,
current_user,0,1,,,System,,,,
cut_fragment,0,1,,,System,,,,
cut_ipv6,0,1,,,System,,,,
cut_query_string,0,1,,,System,,,,
cut_query_string_and_fragment,0,1,,,System,,,,
cut_to_first_significant_subdomain,0,1,,,System,,,,URL
cut_to_first_significant_subdomain_custom,0,1,,,System,,,,URL
cut_to_first_significant_subdomain_custom_rfc,0,1,,,System,,,,URL
cut_to_first_significant_subdomain_custom_with_www,0,1,,,System,,,,URL
cut_to_first_significant_subdomain_custom_with_www_rfc,0,1,,,System,,,,URL
cut_to_first_significant_subdomain_rfc,0,1,,,System,,,,URL
cut_to_first_significant_subdomain_with_www,0,1,,,System,,,,URL
cut_to_first_significant_subdomain_with_www_rfc,0,1,,,System,,,,URL
cut_url_parameter,0,1,,,System,,,,
cut_www,0,1,,,System,,,,
database,0,1,current_database,,System,,,,
date,0,1,,,System,,,,
dateTime64ToSnowflake,0,1,,,System,,,,
dateTimeToSnowflake,0,1,,,System,,,,
date_diff,0,1,,,System,,,,
date_diff_within,0,1,,,System,,,,
date_name,0,0,,,System,,,,
date_trunc,0,1,,,System,,,,
day,0,1,to_day_of_month,,System,,,,
day_of_month,0,1,to_day_of_month,,System,,,,
day_of_week,0,1,to_day_of_week,,System,,,,
day_of_year,0,1,to_day_of_year,,System,,,,
decode_url_component,0,1,,,System,,,,
decode_url_form_component,0,1,,,System,,,,
decode_xml_component,0,1,,,System,,,,
decrypt,0,1,,,System,,,,
dedup,0,0,,,,,,,table
default_profiles,0,1,,,System,,,,
default_roles,0,1,,,System,,,,
default_value_of_argument_type,0,1,,,System,,,,
default_value_of_type_name,0,1,,,System,,,,
degrees,0,1,,,System,,,,
